Id,Date,WeightKg,WeightPounds,BMI,BMIWeightClass,IsManualReport,LogId
6962181067,5/5/2016 11:59:59 PM,61.30,135.14,23.93,Healthy Weight,TRUE,1462492799000
6962181067,4/18/2016 11:59:59 PM,61.20,134.92,23.89,Healthy Weight,TRUE,1461023999000
6962181067,4/27/2016 11:59:59 PM,61.20,134.92,23.89,Healthy Weight,TRUE,1461801599000
6962181067,4/28/2016 11:59:59 PM,61.20,134.92,23.89,Healthy Weight,TRUE,1461887999000
6962181067,5/7/2016 11:59:59 PM,61.20,134.92,23.89,Healthy Weight,TRUE,1462665599000
6962181067,5/8/2016 11:59:59 PM,61.20,134.92,23.89,Healthy Weight,TRUE,1462751999000
6962181067,5/4/2016 11:59:59 PM,61.10,134.70,23.85,Healthy Weight,TRUE,1462406399000
6962181067,4/30/2016 11:59:59 PM,61.00,134.48,23.82,Healthy Weight,TRUE,1462060799000
6962181067,5/3/2016 11:59:59 PM,61.00,134.48,23.82,Healthy Weight,TRUE,1462319999000
8877689391,4/12/2016 6:47:11 AM,85.80,189.16,25.68,Overweight,FALSE,1460443631000
8877689391,4/18/2016 6:51:14 AM,85.80,189.16,25.68,Overweight,FALSE,1460962274000
8877689391,4/16/2016 1:39:25 PM,85.50,188.50,25.59,Overweight,FALSE,1460813965000
8877689391,4/23/2016 7:22:28 AM,85.50,188.50,25.59,Overweight,FALSE,1461396148000
8877689391,4/24/2016 7:38:05 AM,85.50,188.50,25.59,Overweight,FALSE,1461483485000
8877689391,4/30/2016 7:49:03 AM,85.50,188.50,25.59,Overweight,FALSE,1462002543000
8877689391,5/9/2016 6:39:44 AM,85.50,188.50,25.61,Overweight,FALSE,1462775984000
8877689391,4/25/2016 6:40:16 AM,85.40,188.27,25.56,Overweight,FALSE,1461566416000
8877689391,4/27/2016 6:51:05 AM,85.40,188.27,25.56,Overweight,FALSE,1461739865000
8877689391,5/8/2016 7:35:53 AM,85.40,188.27,25.56,Overweight,FALSE,1462692953000
8877689391,5/11/2016 6:51:47 AM,85.40,188.27,25.56,Overweight,FALSE,1462949507000
8877689391,4/19/2016 6:39:31 AM,85.30,188.05,25.53,Overweight,FALSE,1461047971000
8877689391,5/1/2016 8:47:49 AM,85.30,188.05,25.53,Overweight,FALSE,1462092469000
8877689391,4/26/2016 6:50:27 AM,85.10,187.61,25.49,Overweight,FALSE,1461653427000
8877689391,4/28/2016 6:50:03 AM,85.10,187.61,25.49,Overweight,FALSE,1461826203000
8877689391,5/6/2016 6:43:35 AM,85.00,187.39,25.44,Overweight,FALSE,1462517015000
8877689391,4/13/2016 6:55:00 AM,84.90,187.17,25.41,Overweight,FALSE,1460530500000
8877689391,4/20/2016 6:44:54 AM,84.90,187.17,25.41,Overweight,FALSE,1461134694000
8877689391,4/29/2016 6:49:55 AM,84.90,187.17,25.41,Overweight,FALSE,1461912595000
8877689391,5/3/2016 6:49:41 AM,84.90,187.17,25.41,Overweight,FALSE,1462258181000
8877689391,4/14/2016 6:48:43 AM,84.50,186.29,25.31,Overweight,FALSE,1460616523000
8877689391,4/21/2016 6:50:27 AM,84.50,186.29,25.29,Overweight,FALSE,1461221427000
8877689391,5/4/2016 6:48:22 AM,84.40,186.07,25.26,Overweight,FALSE,1462344502000
8877689391,5/12/2016 6:42:53 AM,84.00,185.19,25.14,Overweight,FALSE,1463035373000
