Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalMinutesInBed,TotalHoursAsleep,TotalHoursInBed,HoursAsleepHoursInBedDiff
1644430081,5/2/2016 12:00:00 AM,1,796,961,13.27,16.02,2.75
1644430081,5/8/2016 12:00:00 AM,1,137,154,2.28,2.57,0.28
1844505072,4/15/2016 12:00:00 AM,1,644,961,10.73,16.02,5.28
1844505072,4/30/2016 12:00:00 AM,1,722,961,12.03,16.02,3.98
1844505072,5/1/2016 12:00:00 AM,1,590,961,9.83,16.02,6.18
1927972279,4/12/2016 12:00:00 AM,3,750,775,12.50,12.92,0.42
1927972279,4/13/2016 12:00:00 AM,1,398,422,6.63,7.03,0.40
1927972279,4/15/2016 12:00:00 AM,2,475,499,7.92,8.32,0.40
1927972279,4/26/2016 12:00:00 AM,1,296,315,4.93,5.25,0.32
1927972279,4/28/2016 12:00:00 AM,1,166,178,2.77,2.97,0.20
2026352035,4/12/2016 12:00:00 AM,1,503,546,8.38,9.10,0.72
2026352035,4/13/2016 12:00:00 AM,1,531,565,8.85,9.42,0.57
2026352035,4/14/2016 12:00:00 AM,1,545,568,9.08,9.47,0.38
2026352035,4/15/2016 12:00:00 AM,1,523,573,8.72,9.55,0.83
2026352035,4/16/2016 12:00:00 AM,1,524,567,8.73,9.45,0.72
2026352035,4/17/2016 12:00:00 AM,1,437,498,7.28,8.30,1.02
2026352035,4/19/2016 12:00:00 AM,1,498,540,8.30,9.00,0.70
2026352035,4/20/2016 12:00:00 AM,1,461,510,7.68,8.50,0.82
2026352035,4/21/2016 12:00:00 AM,1,477,514,7.95,8.57,0.62
2026352035,4/22/2016 12:00:00 AM,1,520,545,8.67,9.08,0.42
2026352035,4/23/2016 12:00:00 AM,1,522,554,8.70,9.23,0.53
2026352035,4/24/2016 12:00:00 AM,1,555,591,9.25,9.85,0.60
2026352035,4/25/2016 12:00:00 AM,1,506,531,8.43,8.85,0.42
2026352035,4/27/2016 12:00:00 AM,1,508,545,8.47,9.08,0.62
2026352035,4/28/2016 12:00:00 AM,1,513,545,8.55,9.08,0.53
2026352035,4/29/2016 12:00:00 AM,1,490,510,8.17,8.50,0.33
2026352035,4/30/2016 12:00:00 AM,1,573,607,9.55,10.12,0.57
2026352035,5/1/2016 12:00:00 AM,1,527,546,8.78,9.10,0.32
2026352035,5/2/2016 12:00:00 AM,1,511,543,8.52,9.05,0.53
2026352035,5/4/2016 12:00:00 AM,1,538,560,8.97,9.33,0.37
2026352035,5/5/2016 12:00:00 AM,1,468,485,7.80,8.08,0.28
2026352035,5/6/2016 12:00:00 AM,1,524,548,8.73,9.13,0.40
2026352035,5/7/2016 12:00:00 AM,1,511,521,8.52,8.68,0.17
2026352035,5/8/2016 12:00:00 AM,1,541,568,9.02,9.47,0.45
2026352035,5/9/2016 12:00:00 AM,1,531,556,8.85,9.27,0.42
2026352035,5/10/2016 12:00:00 AM,1,357,380,5.95,6.33,0.38
2026352035,5/11/2016 12:00:00 AM,1,523,553,8.72,9.22,0.50
2026352035,5/12/2016 12:00:00 AM,1,456,485,7.60,8.08,0.48
2320127002,4/23/2016 12:00:00 AM,1,61,69,1.02,1.15,0.13
2347167796,4/13/2016 12:00:00 AM,1,467,531,7.78,8.85,1.07
2347167796,4/14/2016 12:00:00 AM,1,445,489,7.42,8.15,0.73
2347167796,4/15/2016 12:00:00 AM,1,452,504,7.53,8.40,0.87
2347167796,4/17/2016 12:00:00 AM,1,556,602,9.27,10.03,0.77
2347167796,4/18/2016 12:00:00 AM,1,500,557,8.33,9.28,0.95
2347167796,4/19/2016 12:00:00 AM,1,465,514,7.75,8.57,0.82
2347167796,4/21/2016 12:00:00 AM,1,460,484,7.67,8.07,0.40
2347167796,4/22/2016 12:00:00 AM,1,405,461,6.75,7.68,0.93
2347167796,4/23/2016 12:00:00 AM,1,374,386,6.23,6.43,0.20
2347167796,4/24/2016 12:00:00 AM,1,442,459,7.37,7.65,0.28
2347167796,4/25/2016 12:00:00 AM,1,433,471,7.22,7.85,0.63
2347167796,4/26/2016 12:00:00 AM,1,436,490,7.27,8.17,0.90
2347167796,4/27/2016 12:00:00 AM,1,448,499,7.47,8.32,0.85
2347167796,4/28/2016 12:00:00 AM,1,408,450,6.80,7.50,0.70
2347167796,4/29/2016 12:00:00 AM,1,411,473,6.85,7.88,1.03
3977333714,4/12/2016 12:00:00 AM,1,274,469,4.57,7.82,3.25
3977333714,4/13/2016 12:00:00 AM,2,295,456,4.92,7.60,2.68
3977333714,4/14/2016 12:00:00 AM,1,291,397,4.85,6.62,1.77
3977333714,4/15/2016 12:00:00 AM,1,424,556,7.07,9.27,2.20
3977333714,4/16/2016 12:00:00 AM,1,283,510,4.72,8.50,3.78
3977333714,4/17/2016 12:00:00 AM,1,381,566,6.35,9.43,3.08
3977333714,4/18/2016 12:00:00 AM,2,412,522,6.87,8.70,1.83
3977333714,4/19/2016 12:00:00 AM,1,219,395,3.65,6.58,2.93
3977333714,4/20/2016 12:00:00 AM,2,152,305,2.53,5.08,2.55
3977333714,4/21/2016 12:00:00 AM,1,332,512,5.53,8.53,3.00
3977333714,4/22/2016 12:00:00 AM,1,355,476,5.92,7.93,2.02
3977333714,4/23/2016 12:00:00 AM,1,235,372,3.92,6.20,2.28
3977333714,4/24/2016 12:00:00 AM,1,310,526,5.17,8.77,3.60
3977333714,4/25/2016 12:00:00 AM,1,262,467,4.37,7.78,3.42
3977333714,4/26/2016 12:00:00 AM,1,250,371,4.17,6.18,2.02
3977333714,4/27/2016 12:00:00 AM,1,349,540,5.82,9.00,3.18
3977333714,4/28/2016 12:00:00 AM,1,261,423,4.35,7.05,2.70
3977333714,4/29/2016 12:00:00 AM,1,333,478,5.55,7.97,2.42
3977333714,4/30/2016 12:00:00 AM,1,237,382,3.95,6.37,2.42
3977333714,5/1/2016 12:00:00 AM,1,383,626,6.38,10.43,4.05
3977333714,5/2/2016 12:00:00 AM,1,230,384,3.83,6.40,2.57
3977333714,5/3/2016 12:00:00 AM,1,292,500,4.87,8.33,3.47
3977333714,5/4/2016 12:00:00 AM,1,213,336,3.55,5.60,2.05
3977333714,5/5/2016 12:00:00 AM,1,318,480,5.30,8.00,2.70
3977333714,5/6/2016 12:00:00 AM,1,323,512,5.38,8.53,3.15
3977333714,5/7/2016 12:00:00 AM,1,237,443,3.95,7.38,3.43
3977333714,5/8/2016 12:00:00 AM,2,259,456,4.32,7.60,3.28
3977333714,5/10/2016 12:00:00 AM,1,312,452,5.20,7.53,2.33
4020332650,4/12/2016 12:00:00 AM,1,501,541,8.35,9.02,0.67
4020332650,4/16/2016 12:00:00 AM,1,77,77,1.28,1.28,0.00
4020332650,5/3/2016 12:00:00 AM,1,322,332,5.37,5.53,0.17
4020332650,5/4/2016 12:00:00 AM,1,478,536,7.97,8.93,0.97
4020332650,5/5/2016 12:00:00 AM,1,226,248,3.77,4.13,0.37
4020332650,5/6/2016 12:00:00 AM,1,385,408,6.42,6.80,0.38
4020332650,5/8/2016 12:00:00 AM,1,364,402,6.07,6.70,0.63
4020332650,5/10/2016 12:00:00 AM,1,442,494,7.37,8.23,0.87
4319703577,4/14/2016 12:00:00 AM,1,535,557,8.92,9.28,0.37
4319703577,4/15/2016 12:00:00 AM,1,465,491,7.75,8.18,0.43
4319703577,4/16/2016 12:00:00 AM,1,506,522,8.43,8.70,0.27
4319703577,4/18/2016 12:00:00 AM,1,515,551,8.58,9.18,0.60
4319703577,4/19/2016 12:00:00 AM,2,461,498,7.68,8.30,0.62
4319703577,4/20/2016 12:00:00 AM,1,523,543,8.72,9.05,0.33
4319703577,4/21/2016 12:00:00 AM,1,59,65,0.98,1.08,0.10
4319703577,4/22/2016 12:00:00 AM,1,533,550,8.88,9.17,0.28
4319703577,4/23/2016 12:00:00 AM,1,692,722,11.53,12.03,0.50
4319703577,4/24/2016 12:00:00 AM,1,467,501,7.78,8.35,0.57
4319703577,4/25/2016 12:00:00 AM,1,488,506,8.13,8.43,0.30
4319703577,4/26/2016 12:00:00 AM,1,505,516,8.42,8.60,0.18
4319703577,4/27/2016 12:00:00 AM,1,286,307,4.77,5.12,0.35
4319703577,4/28/2016 12:00:00 AM,1,497,522,8.28,8.70,0.42
4319703577,4/29/2016 12:00:00 AM,1,523,546,8.72,9.10,0.38
4319703577,4/30/2016 12:00:00 AM,1,490,516,8.17,8.60,0.43
4319703577,5/1/2016 12:00:00 AM,1,484,500,8.07,8.33,0.27
4319703577,5/2/2016 12:00:00 AM,1,478,506,7.97,8.43,0.47
4319703577,5/3/2016 12:00:00 AM,1,474,512,7.90,8.53,0.63
4319703577,5/6/2016 12:00:00 AM,1,450,491,7.50,8.18,0.68
4319703577,5/7/2016 12:00:00 AM,1,507,530,8.45,8.83,0.38
4319703577,5/8/2016 12:00:00 AM,1,602,638,10.03,10.63,0.60
4319703577,5/9/2016 12:00:00 AM,1,535,565,8.92,9.42,0.50
4319703577,5/10/2016 12:00:00 AM,1,487,517,8.12,8.62,0.50
4319703577,5/11/2016 12:00:00 AM,1,529,558,8.82,9.30,0.48
4319703577,5/12/2016 12:00:00 AM,1,302,321,5.03,5.35,0.32
4388161847,4/15/2016 12:00:00 AM,1,499,526,8.32,8.77,0.45
4388161847,4/16/2016 12:00:00 AM,2,426,448,7.10,7.47,0.37
4388161847,4/17/2016 12:00:00 AM,2,619,641,10.32,10.68,0.37
4388161847,4/18/2016 12:00:00 AM,1,99,104,1.65,1.73,0.08
4388161847,4/19/2016 12:00:00 AM,1,329,338,5.48,5.63,0.15
4388161847,4/20/2016 12:00:00 AM,1,421,451,7.02,7.52,0.50
4388161847,4/21/2016 12:00:00 AM,1,442,458,7.37,7.63,0.27
4388161847,4/22/2016 12:00:00 AM,1,82,85,1.37,1.42,0.05
4388161847,4/23/2016 12:00:00 AM,1,478,501,7.97,8.35,0.38
4388161847,4/24/2016 12:00:00 AM,3,552,595,9.20,9.92,0.72
4388161847,4/26/2016 12:00:00 AM,1,319,346,5.32,5.77,0.45
4388161847,4/27/2016 12:00:00 AM,1,439,500,7.32,8.33,1.02
4388161847,4/28/2016 12:00:00 AM,1,428,458,7.13,7.63,0.50
4388161847,4/30/2016 12:00:00 AM,2,409,430,6.82,7.17,0.35
4388161847,5/1/2016 12:00:00 AM,1,547,597,9.12,9.95,0.83
4388161847,5/2/2016 12:00:00 AM,2,368,376,6.13,6.27,0.13
4388161847,5/4/2016 12:00:00 AM,1,390,414,6.50,6.90,0.40
4388161847,5/5/2016 12:00:00 AM,1,471,495,7.85,8.25,0.40
4388161847,5/5/2016 12:00:00 AM,1,471,495,7.85,8.25,0.40
4388161847,5/7/2016 12:00:00 AM,1,472,496,7.87,8.27,0.40
4388161847,5/8/2016 12:00:00 AM,2,529,541,8.82,9.02,0.20
4388161847,5/9/2016 12:00:00 AM,1,62,65,1.03,1.08,0.05
4388161847,5/10/2016 12:00:00 AM,1,354,375,5.90,6.25,0.35
4388161847,5/11/2016 12:00:00 AM,1,469,494,7.82,8.23,0.42
4445114986,4/12/2016 12:00:00 AM,2,429,457,7.15,7.62,0.47
4445114986,4/13/2016 12:00:00 AM,2,370,406,6.17,6.77,0.60
4445114986,4/14/2016 12:00:00 AM,1,441,492,7.35,8.20,0.85
4445114986,4/15/2016 12:00:00 AM,2,337,379,5.62,6.32,0.70
4445114986,4/16/2016 12:00:00 AM,1,462,499,7.70,8.32,0.62
4445114986,4/17/2016 12:00:00 AM,1,98,107,1.63,1.78,0.15
4445114986,4/19/2016 12:00:00 AM,2,388,424,6.47,7.07,0.60
4445114986,4/20/2016 12:00:00 AM,1,439,462,7.32,7.70,0.38
4445114986,4/21/2016 12:00:00 AM,1,436,469,7.27,7.82,0.55
4445114986,4/22/2016 12:00:00 AM,1,388,417,6.47,6.95,0.48
4445114986,4/25/2016 12:00:00 AM,1,328,345,5.47,5.75,0.28
4445114986,4/26/2016 12:00:00 AM,2,353,391,5.88,6.52,0.63
4445114986,4/27/2016 12:00:00 AM,1,332,374,5.53,6.23,0.70
4445114986,4/28/2016 12:00:00 AM,1,419,442,6.98,7.37,0.38
4445114986,4/29/2016 12:00:00 AM,1,106,108,1.77,1.80,0.03
4445114986,4/30/2016 12:00:00 AM,1,322,353,5.37,5.88,0.52
4445114986,5/1/2016 12:00:00 AM,2,439,459,7.32,7.65,0.33
4445114986,5/2/2016 12:00:00 AM,1,502,542,8.37,9.03,0.67
4445114986,5/3/2016 12:00:00 AM,2,417,450,6.95,7.50,0.55
4445114986,5/4/2016 12:00:00 AM,2,337,363,5.62,6.05,0.43
4445114986,5/5/2016 12:00:00 AM,2,462,513,7.70,8.55,0.85
4445114986,5/6/2016 12:00:00 AM,2,374,402,6.23,6.70,0.47
4445114986,5/7/2016 12:00:00 AM,2,401,436,6.68,7.27,0.58
4445114986,5/8/2016 12:00:00 AM,1,361,391,6.02,6.52,0.50
4445114986,5/9/2016 12:00:00 AM,1,457,533,7.62,8.88,1.27
4445114986,5/10/2016 12:00:00 AM,1,405,426,6.75,7.10,0.35
4445114986,5/11/2016 12:00:00 AM,1,499,530,8.32,8.83,0.52
4445114986,5/12/2016 12:00:00 AM,1,483,501,8.05,8.35,0.30
4558609924,4/21/2016 12:00:00 AM,1,126,137,2.10,2.28,0.18
4558609924,4/26/2016 12:00:00 AM,1,103,121,1.72,2.02,0.30
4558609924,4/29/2016 12:00:00 AM,1,171,179,2.85,2.98,0.13
4558609924,5/1/2016 12:00:00 AM,1,115,129,1.92,2.15,0.23
4558609924,5/8/2016 12:00:00 AM,1,123,134,2.05,2.23,0.18
4702921684,4/12/2016 12:00:00 AM,1,425,439,7.08,7.32,0.23
4702921684,4/13/2016 12:00:00 AM,2,400,430,6.67,7.17,0.50
4702921684,4/14/2016 12:00:00 AM,1,384,415,6.40,6.92,0.52
4702921684,4/15/2016 12:00:00 AM,1,253,257,4.22,4.28,0.07
4702921684,4/16/2016 12:00:00 AM,2,382,406,6.37,6.77,0.40
4702921684,4/17/2016 12:00:00 AM,1,591,612,9.85,10.20,0.35
4702921684,4/18/2016 12:00:00 AM,1,293,312,4.88,5.20,0.32
4702921684,4/19/2016 12:00:00 AM,1,457,487,7.62,8.12,0.50
4702921684,4/20/2016 12:00:00 AM,1,454,468,7.57,7.80,0.23
4702921684,4/21/2016 12:00:00 AM,1,425,434,7.08,7.23,0.15
4702921684,4/23/2016 12:00:00 AM,1,465,475,7.75,7.92,0.17
4702921684,4/24/2016 12:00:00 AM,1,480,506,8.00,8.43,0.43
4702921684,4/25/2016 12:00:00 AM,1,370,380,6.17,6.33,0.17
4702921684,4/26/2016 12:00:00 AM,1,421,429,7.02,7.15,0.13
4702921684,4/27/2016 12:00:00 AM,1,432,449,7.20,7.48,0.28
4702921684,4/28/2016 12:00:00 AM,1,442,461,7.37,7.68,0.32
4702921684,4/29/2016 12:00:00 AM,1,433,447,7.22,7.45,0.23
4702921684,4/30/2016 12:00:00 AM,1,479,501,7.98,8.35,0.37
4702921684,5/3/2016 12:00:00 AM,1,327,373,5.45,6.22,0.77
4702921684,5/4/2016 12:00:00 AM,1,412,434,6.87,7.23,0.37
4702921684,5/5/2016 12:00:00 AM,1,414,428,6.90,7.13,0.23
4702921684,5/6/2016 12:00:00 AM,1,404,449,6.73,7.48,0.75
4702921684,5/7/2016 12:00:00 AM,1,520,543,8.67,9.05,0.38
4702921684,5/7/2016 12:00:00 AM,1,520,543,8.67,9.05,0.38
4702921684,5/9/2016 12:00:00 AM,1,435,458,7.25,7.63,0.38
4702921684,5/10/2016 12:00:00 AM,1,416,431,6.93,7.18,0.25
4702921684,5/11/2016 12:00:00 AM,1,354,366,5.90,6.10,0.20
4702921684,5/12/2016 12:00:00 AM,1,404,442,6.73,7.37,0.63
5553957443,4/12/2016 12:00:00 AM,1,441,464,7.35,7.73,0.38
5553957443,4/13/2016 12:00:00 AM,2,455,488,7.58,8.13,0.55
5553957443,4/14/2016 12:00:00 AM,1,357,418,5.95,6.97,1.02
5553957443,4/15/2016 12:00:00 AM,1,377,409,6.28,6.82,0.53
5553957443,4/16/2016 12:00:00 AM,2,651,686,10.85,11.43,0.58
5553957443,4/17/2016 12:00:00 AM,1,350,402,5.83,6.70,0.87
5553957443,4/18/2016 12:00:00 AM,2,520,541,8.67,9.02,0.35
5553957443,4/19/2016 12:00:00 AM,1,357,410,5.95,6.83,0.88
5553957443,4/20/2016 12:00:00 AM,1,658,678,10.97,11.30,0.33
5553957443,4/21/2016 12:00:00 AM,1,399,431,6.65,7.18,0.53
5553957443,4/22/2016 12:00:00 AM,1,322,353,5.37,5.88,0.52
5553957443,4/23/2016 12:00:00 AM,2,631,725,10.52,12.08,1.57
5553957443,4/24/2016 12:00:00 AM,2,553,640,9.22,10.67,1.45
5553957443,4/25/2016 12:00:00 AM,1,433,468,7.22,7.80,0.58
5553957443,4/26/2016 12:00:00 AM,1,412,453,6.87,7.55,0.68
5553957443,4/27/2016 12:00:00 AM,1,347,391,5.78,6.52,0.73
5553957443,4/28/2016 12:00:00 AM,1,421,457,7.02,7.62,0.60
5553957443,4/29/2016 12:00:00 AM,1,450,495,7.50,8.25,0.75
5553957443,4/30/2016 12:00:00 AM,2,775,843,12.92,14.05,1.13
5553957443,5/1/2016 12:00:00 AM,2,622,686,10.37,11.43,1.07
5553957443,5/2/2016 12:00:00 AM,1,409,471,6.82,7.85,1.03
5553957443,5/3/2016 12:00:00 AM,1,380,429,6.33,7.15,0.82
5553957443,5/4/2016 12:00:00 AM,1,447,470,7.45,7.83,0.38
5553957443,5/5/2016 12:00:00 AM,1,419,464,6.98,7.73,0.75
5553957443,5/6/2016 12:00:00 AM,1,400,434,6.67,7.23,0.57
5553957443,5/7/2016 12:00:00 AM,1,442,470,7.37,7.83,0.47
5553957443,5/8/2016 12:00:00 AM,1,568,608,9.47,10.13,0.67
5553957443,5/9/2016 12:00:00 AM,1,453,494,7.55,8.23,0.68
5553957443,5/10/2016 12:00:00 AM,1,418,443,6.97,7.38,0.42
5553957443,5/11/2016 12:00:00 AM,1,463,486,7.72,8.10,0.38
5553957443,5/12/2016 12:00:00 AM,1,438,475,7.30,7.92,0.62
5577150313,4/12/2016 12:00:00 AM,1,419,438,6.98,7.30,0.32
5577150313,4/13/2016 12:00:00 AM,1,432,458,7.20,7.63,0.43
5577150313,4/14/2016 12:00:00 AM,1,477,497,7.95,8.28,0.33
5577150313,4/15/2016 12:00:00 AM,1,392,413,6.53,6.88,0.35
5577150313,4/16/2016 12:00:00 AM,1,406,445,6.77,7.42,0.65
5577150313,4/17/2016 12:00:00 AM,1,549,583,9.15,9.72,0.57
5577150313,4/18/2016 12:00:00 AM,1,527,553,8.78,9.22,0.43
5577150313,4/19/2016 12:00:00 AM,1,449,465,7.48,7.75,0.27
5577150313,4/20/2016 12:00:00 AM,1,447,480,7.45,8.00,0.55
5577150313,4/21/2016 12:00:00 AM,1,414,437,6.90,7.28,0.38
5577150313,4/22/2016 12:00:00 AM,1,338,366,5.63,6.10,0.47
5577150313,4/23/2016 12:00:00 AM,1,384,402,6.40,6.70,0.30
5577150313,4/24/2016 12:00:00 AM,1,543,615,9.05,10.25,1.20
5577150313,4/25/2016 12:00:00 AM,1,421,461,7.02,7.68,0.67
5577150313,4/26/2016 12:00:00 AM,1,354,377,5.90,6.28,0.38
5577150313,4/27/2016 12:00:00 AM,1,424,452,7.07,7.53,0.47
5577150313,4/28/2016 12:00:00 AM,1,361,372,6.02,6.20,0.18
5577150313,4/29/2016 12:00:00 AM,1,459,485,7.65,8.08,0.43
5577150313,4/30/2016 12:00:00 AM,1,412,433,6.87,7.22,0.35
5577150313,5/1/2016 12:00:00 AM,1,379,398,6.32,6.63,0.32
5577150313,5/2/2016 12:00:00 AM,2,525,553,8.75,9.22,0.47
5577150313,5/3/2016 12:00:00 AM,1,508,543,8.47,9.05,0.58
5577150313,5/4/2016 12:00:00 AM,1,603,634,10.05,10.57,0.52
5577150313,5/5/2016 12:00:00 AM,1,74,78,1.23,1.30,0.07
5577150313,5/10/2016 12:00:00 AM,1,504,562,8.40,9.37,0.97
5577150313,5/11/2016 12:00:00 AM,1,431,476,7.18,7.93,0.75
6117666160,4/16/2016 12:00:00 AM,1,380,398,6.33,6.63,0.30
6117666160,4/17/2016 12:00:00 AM,2,336,350,5.60,5.83,0.23
6117666160,4/18/2016 12:00:00 AM,2,493,510,8.22,8.50,0.28
6117666160,4/19/2016 12:00:00 AM,1,465,492,7.75,8.20,0.45
6117666160,4/20/2016 12:00:00 AM,1,474,502,7.90,8.37,0.47
6117666160,4/21/2016 12:00:00 AM,1,508,550,8.47,9.17,0.70
6117666160,4/22/2016 12:00:00 AM,1,480,546,8.00,9.10,1.10
6117666160,4/23/2016 12:00:00 AM,1,492,539,8.20,8.98,0.78
6117666160,4/24/2016 12:00:00 AM,1,353,367,5.88,6.12,0.23
6117666160,4/27/2016 12:00:00 AM,1,542,557,9.03,9.28,0.25
6117666160,4/28/2016 12:00:00 AM,1,393,416,6.55,6.93,0.38
6117666160,4/29/2016 12:00:00 AM,1,600,636,10.00,10.60,0.60
6117666160,5/1/2016 12:00:00 AM,1,507,575,8.45,9.58,1.13
6117666160,5/5/2016 12:00:00 AM,1,392,415,6.53,6.92,0.38
6117666160,5/6/2016 12:00:00 AM,2,658,698,10.97,11.63,0.67
6117666160,5/7/2016 12:00:00 AM,2,498,507,8.30,8.45,0.15
6117666160,5/8/2016 12:00:00 AM,1,555,603,9.25,10.05,0.80
6117666160,5/9/2016 12:00:00 AM,1,492,522,8.20,8.70,0.50
6775888955,4/13/2016 12:00:00 AM,1,235,260,3.92,4.33,0.42
6775888955,4/14/2016 12:00:00 AM,1,423,441,7.05,7.35,0.30
6775888955,4/15/2016 12:00:00 AM,1,391,406,6.52,6.77,0.25
6962181067,4/12/2016 12:00:00 AM,1,366,387,6.10,6.45,0.35
6962181067,4/13/2016 12:00:00 AM,3,630,679,10.50,11.32,0.82
6962181067,4/14/2016 12:00:00 AM,2,508,535,8.47,8.92,0.45
6962181067,4/15/2016 12:00:00 AM,1,370,386,6.17,6.43,0.27
6962181067,4/16/2016 12:00:00 AM,1,357,366,5.95,6.10,0.15
6962181067,4/17/2016 12:00:00 AM,1,427,446,7.12,7.43,0.32
6962181067,4/18/2016 12:00:00 AM,1,442,458,7.37,7.63,0.27
6962181067,4/19/2016 12:00:00 AM,1,476,535,7.93,8.92,0.98
6962181067,4/20/2016 12:00:00 AM,1,418,424,6.97,7.07,0.10
6962181067,4/21/2016 12:00:00 AM,1,451,457,7.52,7.62,0.10
6962181067,4/22/2016 12:00:00 AM,1,425,435,7.08,7.25,0.17
6962181067,4/23/2016 12:00:00 AM,1,528,546,8.80,9.10,0.30
6962181067,4/24/2016 12:00:00 AM,1,511,514,8.52,8.57,0.05
6962181067,4/25/2016 12:00:00 AM,1,400,415,6.67,6.92,0.25
6962181067,4/26/2016 12:00:00 AM,1,441,446,7.35,7.43,0.08
6962181067,4/27/2016 12:00:00 AM,1,455,467,7.58,7.78,0.20
6962181067,4/28/2016 12:00:00 AM,1,440,453,7.33,7.55,0.22
6962181067,4/29/2016 12:00:00 AM,1,433,447,7.22,7.45,0.23
6962181067,4/30/2016 12:00:00 AM,1,422,424,7.03,7.07,0.03
6962181067,5/1/2016 12:00:00 AM,1,411,426,6.85,7.10,0.25
6962181067,5/2/2016 12:00:00 AM,1,466,482,7.77,8.03,0.27
6962181067,5/3/2016 12:00:00 AM,1,394,418,6.57,6.97,0.40
6962181067,5/4/2016 12:00:00 AM,1,442,455,7.37,7.58,0.22
6962181067,5/5/2016 12:00:00 AM,1,467,491,7.78,8.18,0.40
6962181067,5/6/2016 12:00:00 AM,1,443,462,7.38,7.70,0.32
6962181067,5/7/2016 12:00:00 AM,1,298,334,4.97,5.57,0.60
6962181067,5/8/2016 12:00:00 AM,1,541,569,9.02,9.48,0.47
6962181067,5/9/2016 12:00:00 AM,1,489,497,8.15,8.28,0.13
6962181067,5/10/2016 12:00:00 AM,1,469,481,7.82,8.02,0.20
6962181067,5/11/2016 12:00:00 AM,1,452,480,7.53,8.00,0.47
6962181067,5/12/2016 12:00:00 AM,1,516,535,8.60,8.92,0.32
7007744171,4/16/2016 12:00:00 AM,1,79,82,1.32,1.37,0.05
7007744171,5/1/2016 12:00:00 AM,1,58,61,0.97,1.02,0.05
7086361926,4/12/2016 12:00:00 AM,1,514,525,8.57,8.75,0.18
7086361926,4/13/2016 12:00:00 AM,1,451,465,7.52,7.75,0.23
7086361926,4/14/2016 12:00:00 AM,1,472,476,7.87,7.93,0.07
7086361926,4/15/2016 12:00:00 AM,1,377,386,6.28,6.43,0.15
7086361926,4/19/2016 12:00:00 AM,1,472,483,7.87,8.05,0.18
7086361926,4/20/2016 12:00:00 AM,1,492,502,8.20,8.37,0.17
7086361926,4/21/2016 12:00:00 AM,1,390,411,6.50,6.85,0.35
7086361926,4/22/2016 12:00:00 AM,1,428,448,7.13,7.47,0.33
7086361926,4/24/2016 12:00:00 AM,1,681,704,11.35,11.73,0.38
7086361926,4/25/2016 12:00:00 AM,1,446,447,7.43,7.45,0.02
7086361926,4/26/2016 12:00:00 AM,1,485,500,8.08,8.33,0.25
7086361926,4/27/2016 12:00:00 AM,1,469,479,7.82,7.98,0.17
7086361926,4/28/2016 12:00:00 AM,1,354,367,5.90,6.12,0.22
7086361926,4/30/2016 12:00:00 AM,1,485,489,8.08,8.15,0.07
7086361926,5/1/2016 12:00:00 AM,1,388,407,6.47,6.78,0.32
